%%% Output of table1.fig

#it	 parameters				0.75 x opt	opt		 1.25 x opt

7 	 (7.58444479)			 	7.53e-01/24.84	 7.39e-01/24.90	 7.43e-01/24.94
7 	 (5.63306375)			 	7.60e-01/24.85	 7.45e-01/24.88	 7.58e-01/24.89
6 	 (4.53654011)			 	7.87e-01/24.04	 7.71e-01/24.10	 7.83e-01/24.10
7 	 (5.94340896 4.23520658)	 	7.49e-01/25.02	 7.30e-01/25.06	 7.38e-01/25.07
16 	 (7.51224063 1.07005228 0.99071593)	7.37e-01/25.12	 7.22e-01/25.18	 7.33e-01/25.20
10 	 (18.37722396)			 	3.69e-01/31.16	 3.51e-01/31.15	 3.68e-01/30.55
11 	 (11.11139920)			 	3.72e-01/31.31	 3.51e-01/31.40	 3.81e-01/31.05
12 	 (8.72518172)			 	4.30e-01/30.18	 4.08e-01/30.31	 4.43e-01/30.13
8 	 (14.47188761 5.20181302)	 	3.53e-01/31.51	 3.34e-01/31.57	 3.55e-01/31.05
20 	 (15.00441928 2.49859962 2.83092336)	3.52e-01/31.55	 3.27e-01/31.63	 3.44e-01/31.14
9 	 (13.50476091)			 	5.29e-01/28.61	 5.09e-01/28.73	 5.35e-01/28.64
9 	 (8.78041173)			 	5.34e-01/28.75	 5.09e-01/28.83	 5.38e-01/28.72
9 	 (7.13949932)				5.84e-01/28.03	 5.60e-01/28.06	 5.88e-01/27.99
11 	 (10.98385379 3.73732452)		5.16e-01/28.91	 4.90e-01/29.04	 5.09e-01/28.96
13 	 (11.55682054 3.30512026 0.97140254)	5.07e-01/29.00	 4.86e-01/29.11	 5.13e-01/28.99
